#,Event Date,Year ,Species,Name.Current.Sci,Location,County/Region,GPS Lat,GPS Long,GridRef,Record ID,Stranding ID,Observer,Live Stranding
2764,07/03/1997,1997,pilot whale,Globicephala melas,Stradbally Strand Brandon Bay,Co. Kerry,52.2506,-10.0947,,1875,1997_011,IWDG INJ 25(11/12) -  447-448., NO
2765,25/02/1997,1997,pilot whale,Globicephala melas,Bantry Bay,Co. Cork,51.6849,-9.4611,,1874,1997_010,IWDG INJ 25(11/12) -  447-448., NO
2766,06/02/1997,1997,common dolphin,Delphinus delphis,Cork Harbour,Co. Cork,51.8916,-8.1896,,1559,1997_008,IWDG INJ 25(11/12) -  447-448., NO
2767,06/02/1997,1997,Risso's dolphin,Grampus griseus,Ballyquinn,Co. Waterford,51.9633,-7.7097,,1775,1997_009,IWDG INJ 25(11/12) -  447-448.(pregnant- female foetus 0.61m), NO
2768,29/01/1997,1997,Risso's dolphin,Grampus griseus,Ballycotton,Co. Cork,51.8198,-8.0152,,1774,1997_007,IWDG INJ 25(11/12) -  447-448., NO
2769,28/01/1997,1997,harbour porpoise,Phocoena phocoena,Whiting Bay Ardmore,Co. Waterford,51.9454,-7.7826,,1261,1997_006,IWDG INJ 25(11/12) -  447-448., NO
2770,27/01/1997,1997,harbour porpoise,Phocoena phocoena,Ram Head Ardmore,Co. Waterford,51.9543,-7.7244,,1260,1997_005,IWDG INJ 25(11/12) -  447-448., NO
2771,23/01/1997,1997,common dolphin,Delphinus delphis,Inishbofin,Co. Galway,53.632,-10.2667,,1557,1997_003,IWDG INJ 25(11/12) -  447-448., NO
2772,23/01/1997,1997,common dolphin,Delphinus delphis,Inishbofin,Co. Galway,53.632,-10.2381,,1558,1997_004,IWDG INJ 25(11/12) -  447-448., NO
2773,18/01/1997,1997,harbour porpoise,Phocoena phocoena,Garryvoe Ballycotton Bay,Co. Cork,51.8647,-7.9136,,1259,1997_002,IWDG INJ 25(11/12) -  447-448., NO
2774,15/01/1997,1997,harbour porpoise,Phocoena phocoena,Rush,Co. Dublin,53.5211,-6.101,,1258,1997_001,IWDG INJ 25(11/12) -  447-448.(pregnant - male foetus 0.26m), NO
2775,20/12/1996,1996,striped dolphin,Stenella coeruleoalba,White Park Bay,Co. Antrim,55.2325,-6.3976,,1706,1996_027,IWDG INJ 25(11/12) -  447-448., NO
2776,01/11/1996,1996,common dolphin,Delphinus delphis,Rosmoney,Co. Mayo,53.632,-10.2381,,1556,1996_026,IWDG INJ 25(11/12) -  447-448., NO
2777,31/10/1996,1996,striped dolphin,Stenella coeruleoalba,Ventry,Co. Kerry,52.1286,-10.3664,,1705,1996_025,IWDG INJ 25(11/12) -  447-448., NO
2778,03/10/1996,1996,harbour porpoise,Phocoena phocoena,Allihies Bay Beara Peninsula,Co. Cork,51.6401,-10.052,,1257,1996_024,IWDG INJ 25(11/12) -  447-448., NO
